tweet_id,user_name,date,content,language,reply_count,retweet_count,like_count,hashtags
1365941379919208451,khan_14asif,2021-02-28T08:26:17+00:00,"@sambitswaraj #deshdrohibjp 
#kapootsarkar https://t.co/Xtr55I2DLU",und,0,0,0,"['deshdrohibjp', 'kapootsarkar']"
1365879842529554432,fiftysixkabaap,2021-02-28T04:21:45+00:00,These new rules are straight out of the #toolkit of a #Fascist regime. #ModiGlobalDisaster #fascistbjpgovt #deshdrohibjp #StandWithFarmers #FarmersProtests #FarmersProtest https://t.co/jHlPAuYkOR,en,0,1,1,"['toolkit', 'Fascist', 'ModiGlobalDisaster', 'fascistbjpgovt', 'deshdrohibjp', 'StandWithFarmers', 'FarmersProtests', 'FarmersProtest']"
1365700240523882497,khan_14asif,2021-02-27T16:28:05+00:00,"@vivek01_sharma @sudhirchaudhary @sudhirchaudhary 
@ZeeNews 
#deshdrohibjp 
#dokaudikepatrakar 
#kapootsarkar https://t.co/ZfFMeLkNig",und,0,0,0,"['deshdrohibjp', 'dokaudikepatrakar', 'kapootsarkar']"
1365675765661126659,khan_14asif,2021-02-27T14:50:50+00:00,"@RoflGandhi_ @RubikaLiyaquat 
#deshdrohibjp 
#dokaudikepatrakar 
#kapootsarkar https://t.co/Mj4dSrqbb1",und,0,0,0,"['deshdrohibjp', 'dokaudikepatrakar', 'kapootsarkar']"
1365580488052772866,khan_14asif,2021-02-27T08:32:14+00:00,"@DChaurasia2312 #deshdrohibjp 
#dokaudikepatrakar 
#kapootsarkar https://t.co/YlJfYNN3zB",und,0,0,0,"['deshdrohibjp', 'dokaudikepatrakar', 'kapootsarkar']"
1365554194502082560,khan_14asif,2021-02-27T06:47:45+00:00,"@samjawed65 @aajtak
#deshdrohibjp 
#dokaudikepatrakar 
#kapootsarkar https://t.co/N251F7EWkZ",und,0,0,0,"['deshdrohibjp', 'dokaudikepatrakar', 'kapootsarkar']"
1365532658579746817,khan_14asif,2021-02-27T05:22:10+00:00,"@IndiaToday #deshdrohibjp 
#dokaudikepatrakar 
#kapootsarkar https://t.co/hQL546vUeN",und,0,0,0,"['deshdrohibjp', 'dokaudikepatrakar', 'kapootsarkar']"
1365501078737854467,BatthGill,2021-02-27T03:16:41+00:00,"#Modi_rojgar_do
#ModiInsultsSardarPatel
#ModiIgnoringFarmersDeaths
#desh_ko_teacher_do
#deshdrohibjp
#PetrolDieselPriceHike
#Petrol100NotOut
#PetrolDieselGasPriceHike
#petrol_100_paar
#modi_job_do
#farmersagitation
#FarmersProtest
#BoycottAdaniAmbani
#FarmersSupportTraders",und,0,6,2,"['Modi_rojgar_do', 'ModiInsultsSardarPatel', 'ModiIgnoringFarmersDeaths', 'desh_ko_teacher_do', 'deshdrohibjp', 'PetrolDieselPriceHike', 'Petrol100NotOut', 'PetrolDieselGasPriceHike', 'petrol_100_paar', 'modi_job_do', 'farmersagitation', 'FarmersProtest', 'BoycottAdaniAmbani', 'FarmersSupportTraders']"
1365300930145583106,khan_14asif,2021-02-26T14:01:22+00:00,"@AMISHDEVGAN #deshdrohibjp 
#dokaudikepatrakar 
#kapootsarkar https://t.co/90jNNw43Vn",und,0,0,0,"['deshdrohibjp', 'dokaudikepatrakar', 'kapootsarkar']"
1365267877847126018,Jaihind101Jai,2021-02-26T11:50:02+00:00,@IndiaToday @divyeshas Who knows? Maybe Mukesh Ambani left his vehicle there Or asked somebody to leave the vehicle to gain sympathy #NoSympathyForAmbanisAdanis #BoycottReliance #BoycottJIO #Boycott_Patanjali #Boycott_Farm_PIK #BoycottAdaniAGRI #BoycottAgriFresh #DeshdrohiBJP #DeshDrohiRSS #BharatBandh,en,0,0,0,"['NoSympathyForAmbanisAdanis', 'BoycottReliance', 'BoycottJIO', 'Boycott_Patanjali', 'Boycott_Farm_PIK', 'BoycottAdaniAGRI', 'BoycottAgriFresh', 'DeshdrohiBJP', 'DeshDrohiRSS', 'BharatBandh']"
1365260915927474184,aapkavdhesh,2021-02-26T11:22:22+00:00,"#DeshdrohiBJP 
#DeshdrohiBJP 
#DeshdrohiBJP https://t.co/bwEtAbpLVY",und,0,0,0,"['DeshdrohiBJP', 'DeshdrohiBJP', 'DeshdrohiBJP']"
1365149899663110156,BatthGill,2021-02-26T04:01:13+00:00,"#modi_job_do
#Modi_rojgar_do
#ModiInsultsSardarPatel
#ModiIgnoringFarmersDeaths
#desh_ko_teacher_do
#deshdrohibjp
#PetrolDieselPriceHike
#Petrol100NotOut
#PetrolDieselGasPriceHike
#petrol_100_paar",und,0,1,0,"['modi_job_do', 'Modi_rojgar_do', 'ModiInsultsSardarPatel', 'ModiIgnoringFarmersDeaths', 'desh_ko_teacher_do', 'deshdrohibjp', 'PetrolDieselPriceHike', 'Petrol100NotOut', 'PetrolDieselGasPriceHike', 'petrol_100_paar']"
1365053204677943300,khan_14asif,2021-02-25T21:37:00+00:00,"@DChaurasia2312 @KapilMishra_IND #deshdrohibjp 
#dokaudikepatrakar 
#kapootsarkar https://t.co/iFHzZUhpMI",und,0,0,0,"['deshdrohibjp', 'dokaudikepatrakar', 'kapootsarkar']"
1365002277573062659,khan_14asif,2021-02-25T18:14:38+00:00,"@ZeeNews @AmanChopra_ #deshdrohibjp 
#dokaudikepatrakar 
#kapootsarkar https://t.co/HtXCGHljcA",und,0,0,0,"['deshdrohibjp', 'dokaudikepatrakar', 'kapootsarkar']"
1365000222028427264,khan_14asif,2021-02-25T18:06:28+00:00,"@Nher_who @ABPNews 
#dokaudikepatrakar 
#deshdrohibjp",und,0,0,0,"['dokaudikepatrakar', 'deshdrohibjp']"
1364972494998933510,khan_14asif,2021-02-25T16:16:17+00:00,"@DChaurasia2312 
#deshdrohibjp 
#dokaudikepatrakar 
#kapootsarkar https://t.co/YFbIpkRdSZ",und,0,0,0,"['deshdrohibjp', 'dokaudikepatrakar', 'kapootsarkar']"
1364914122949812232,khan_14asif,2021-02-25T12:24:20+00:00,"@DChaurasia2312 
@sudhirchaudhary 
@SushantBSinha 
@AmanChopra_ 
@RubikaLiyaquat 
@KapilMishra_IND 
@KanganaTeam 
@ZeeNews
@ABPNews
@News18India
To All
#deshdrohibjp 
#dokaudikepatrakar 
#kapootsarkar https://t.co/M8mbXWt6hT",en,0,0,0,"['deshdrohibjp', 'dokaudikepatrakar', 'kapootsarkar']"
1364911495599955976,AnkatSharma,2021-02-25T12:13:54+00:00,"Public loot by Modiji...??? 
How much will you taxed Modiji...??? 

#deshdrohibjp
#modibhagodeshbachao
#chorbjp https://t.co/lynKJwx4Tu",en,0,9,16,"['deshdrohibjp', 'modibhagodeshbachao', 'chorbjp']"
1364893454556299265,ThanosVsAvenger,2021-02-25T11:02:12+00:00,#AmbaniAdaniKaPM #BJPdestroysDemocracy #DeshdrohiBJP #ambani_adani_desh_keliye_cancer_hai #SardarVallabhbhaiStadium #BollywoodNowModiWood #HumDoHumareDoKiSarkar https://t.co/oKF9fH7gUF,und,0,0,1,"['AmbaniAdaniKaPM', 'BJPdestroysDemocracy', 'DeshdrohiBJP', 'ambani_adani_desh_keliye_cancer_hai', 'SardarVallabhbhaiStadium', 'BollywoodNowModiWood', 'HumDoHumareDoKiSarkar']"
1364832436857630722,knitishp,2021-02-25T06:59:44+00:00,@rssurjewala Sab kuch barbaad krega modi kal sarkari banko ka govt business bhi private ko dene ki tyaari krrha h #modishahresign #Stopprivatisation #StopPrivatisationofBanks #deshdrohibjp #modi_rojdar_do #fmbikchukihai #BankingSector barbaad,hi,0,0,0,"['modishahresign', 'Stopprivatisation', 'StopPrivatisationofBanks', 'deshdrohibjp', 'modi_rojdar_do', 'fmbikchukihai', 'BankingSector']"
1364678415240978435,sanamann15,2021-02-24T20:47:43+00:00,#ModiDontSellFarmers #BJPdestroysDemocracy #BJPAgainstFarmers #CorporatePuppetGOVT #DeshdrohiBJP https://t.co/iGyplIHPPz,und,0,0,1,"['ModiDontSellFarmers', 'BJPdestroysDemocracy', 'BJPAgainstFarmers', 'CorporatePuppetGOVT', 'DeshdrohiBJP']"
1364493169862332416,khan_14asif,2021-02-24T08:31:37+00:00,"@DChaurasia2312 @KapilMishra_IND #deshdrohibjp 
#kapootsarkar https://t.co/YXZPVmqIea",und,0,0,0,"['deshdrohibjp', 'kapootsarkar']"
1364490963595493376,khan_14asif,2021-02-24T08:22:51+00:00,"@samjawed65 @abhisar_sharma @rahulkanwal 
#deshdrohibjp 
#dokaudikepatrakar 
#kapootsarkar https://t.co/gpWzmtL7sT",und,0,0,0,"['deshdrohibjp', 'dokaudikepatrakar', 'kapootsarkar']"
1364482599717007362,Avishek_Mitra,2021-02-24T07:49:37+00:00,"Choose your leaders wisely
#bhaktlogic
#KapilMishra 
#DelhiRiots2020 
#deshdrohibjp 
#DeshKeGaddaronKo... https://t.co/0j3pfJwhpl",en,0,0,0,"['bhaktlogic', 'KapilMishra', 'DelhiRiots2020', 'deshdrohibjp', 'DeshKeGaddaronKo']"
1364409540289040384,MdIrfan05431062,2021-02-24T02:59:18+00:00,@Dr_Uditraj Sir g ye Twitt Twitt khelna band kariye jameen se lekar sadak par utariye har mudde ko seriously lijiye agar yahi haal aap logon ka raha na to sirf haath me mobile ke alawa kuch nahi rahega #modirojgardo #PetrolDieselPriceHike #deshdrohibjp,hi,0,0,0,"['modirojgardo', 'PetrolDieselPriceHike', 'deshdrohibjp']"
